roiName,nvox_roi,targetNr,targetName,nvox_target,nvox_overlap,relDistr,absDistr,relDistr_p,absDistr_p,relDistr_q,absDistr_q
ale_rTPJ_cluster,357,1,VN,22753,6,0.0168067226890756,0.0002637014899134,0.501,0.479,0.87675,0.6706
ale_rTPJ_cluster,357,2,SMN,20128,0,0.0,0.0,0.999,0.999,0.999,0.999
ale_rTPJ_cluster,357,3,DAN,15378,124,0.3473389355742297,0.0080634672909351,0.052000000000000046,0.001,0.2426666666666669,0.0017500000000000016
ale_rTPJ_cluster,357,4,VAN,15153,62,0.1736694677871148,0.0040915990232957,0.19799999999999995,0.026000000000000023,0.4619999999999999,0.04044444444444448
ale_rTPJ_cluster,357,5,LN,11958,0,0.0,0.0,0.999,0.999,0.999,0.999
ale_rTPJ_cluster,357,6,FPN,20924,2,0.0056022408963585,9.558401835213153e-05,0.591,0.567,0.8820000000000001,0.7216363636363636
ale_rTPJ_cluster,357,7,DMN,31304,162,0.453781512605042,0.0051750575006388,0.08499999999999996,0.0010000000000000009,0.2974999999999999,0.0017500000000000016
macm_rTPJ_network,16085,1,VN,22753,1444,0.0897730805097917,0.0634641585724959,0.6930000000000001,0.001,0.8820000000000001,0.0017500000000000016
macm_rTPJ_network,16085,2,SMN,20128,782,0.0486167236555797,0.0388513513513513,0.663,0.001,0.8820000000000001,0.0017500000000000016
macm_rTPJ_network,16085,3,DAN,15378,2857,0.1776188995958968,0.1857848875016257,0.04700000000000004,0.001,0.2426666666666669,0.0017500000000000016
macm_rTPJ_network,16085,4,VAN,15153,4376,0.2720547093565433,0.2887876988055171,0.0040000000000000036,0.001,0.05600000000000005,0.0017500000000000016
macm_rTPJ_network,16085,5,LN,11958,1,6.216972334473111e-05,8.362602441879912e-05,0.866,0.866,0.999,0.999
macm_rTPJ_network,16085,6,FPN,20924,2340,0.1454771526266708,0.1118333014719938,0.14300000000000002,0.001,0.40040000000000003,0.0017500000000000016
macm_rTPJ_network,16085,7,DMN,31304,2835,0.1762511656823127,0.0905635062611806,0.387,0.001,0.774,0.0017500000000000016
