cluster_id,peak_x,peak_y,peak_z,peak_value,volume_mm,talairach_gyrus,talairach_ba,aal
1.0,60.0,-48.0,16.0,0.263984352350235,28576.0,Superior_Temporal_Gyrus,Background,Temporal_Sup_R
2.0,-58.0,-42.0,22.0,0.1013593077659607,26280.0,Inferior_Parietal_Lobule,Brodmann_area_40,Temporal_Sup_L
3.0,-32.0,20.0,2.0,0.1460186094045639,22456.0,Insula,Background,Insula_L
4.0,36.0,20.0,-2.0,0.12036514282226562,19760.0,Extra-Nuclear,Brodmann_area_47,Insula_R
5.0,-4.0,12.0,48.0,0.11168321222066879,11416.0,Superior_Frontal_Gyrus,Background,Supp_Motor_Area_L
6.0,-10.0,-18.0,4.0,0.09839002788066864,5672.0,Thalamus,Mammillary_Body,Thalamus_L
7.0,-34.0,-50.0,46.0,0.08651506900787354,5448.0,Inferior_Parietal_Lobule,Brodmann_area_40,Parietal_Inf_L
8.0,10.0,-16.0,6.0,0.07910846173763275,4664.0,Thalamus,Medial_Dorsal_Nucleus,Thalamus_R
9.0,32.0,-58.0,48.0,0.08125372231006622,2872.0,Superior_Parietal_Lobule,Background,Angular_R
10.0,-2.0,-56.0,34.0,0.08259797841310501,1520.0,Precuneus,Brodmann_area_7,Precuneus_L
11.0,2.0,0.0,40.0,0.05347895249724388,16.0,Cingulate_Gyrus,Background,Cingulate_Mid_R
