macm.rTPJ,macm.lTPJ,macm.lPFCIns,macm.rPFCIns,macm.SMA,macm.lTh,macm.lIPL,macm.rTh,macm.rIPL,macm.lPrec
,0.35716875773901224,,0.1773704612961674,,,,,0.09292225616502954,0.17160823318098373
0.4028202441867509,,0.24108053346285882,,,0.06939042298792271,0.1080516151118214,,,0.07862063663545239
,0.1859705783725406,,0.20769645655156968,0.10368091282678389,0.049345410080608124,0.09542136638843322,,,
0.16873530429872421,,0.22241420234936593,,0.18933623964749993,,,0.091560784196253,0.12538979568131,
,,0.0939124311973289,0.15516396344679112,,0.1003606755388073,0.03585791728146217,0.14761279457829338,,
,0.03739140064180633,0.03275196244861012,,0.07209987174399905,,,0.29867550054023373,,0.08518911283931341
,0.0788564474408663,0.08524594746938326,,0.03773565728681401,,,,0.5048745702702698,
,,,0.057100196586796825,0.11080036898787848,0.30230699563233926,,,,0.06748831499170205
0.07083426631310943,,,0.10554401450242433,,,0.47048535374419487,,,
0.09102051926793918,0.03213939883887737,,,,0.08025320713770011,,0.06175257448038025,,
